cartera,periodo,version,parametro,
consumo,202404,1_oficial,registro_ejec,s41801
consumo,202404,1_oficial,tablas actualizadas,tbl_bucket_pd - tbl_bucket_limites
consumo,202404,1_oficial,umbrales actualizados,0.052 - 0.079
consumo,202404,1_oficial,ruta_output,s3://interbank-datalake-us-east-1-428938305480-discovery/ifrs/discovery/discovery_riesgos_calibracion/Calibracion-2024/Impactos/s41801/resultados_he/202404/carteras/consumo/output_v1_oficial
consumo,202404,1_oficial,pesos fwl,"{'base': 0.58, 'optimista': 0.07, 'pesimista': 0.35}"
consumo,202404,1_oficial,Tablas inputs,"{'tbl_newscore': 'hoa_67_new_score_v1_con_202404', 'tbl_new_primer_score': 'hoa_66_tr_score_inicial_v1_con_202404', 'tbl_bucket_pd': 'hoa_tabla_pd_bucket_v1_202404', 'tbl_lgd': 'hoa_tabla_lgd_v4', 'tbl_ccf': 'hoa_tabla_ccf_v2', 'tbl_bucket_limites': 'hoa_limites_buckets_v1_202404', 'tbl_stress_pd': 'hoa_fwl_ibk_v0_202404'}"
consumo,202404,1_oficial,Actualizacion de tablas,"{'tbl_newscore': 0, 'tbl_new_primer_score': 0, 'tbl_bucket_pd': 1, 'tbl_lgd': 0, 'tbl_ccf': 0, 'tbl_bucket_limites': 1, 'tbl_stress_pd': 0}"
consumo,202404,1_oficial,JSON,JSON_CONSUMO_202404_v1_oficial.json
consumo,202404,1_oficial,"Fecha, hora y tiempo de ejecucion",24-05-2024 06:34 PM ::: [20 min 47 seg]
